n.node_id,n.longitude,n.latitude,elementid(n)
8292427652,20.6086735,-103.3571957,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14266
8292427653,20.6086751,-103.3570849,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14267
1407737635,20.6086761,-103.3822763,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5577
8366390740,20.6086788,-103.4265316,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14695
1407752827,20.6086841,-103.3765222,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5583
1454530783,20.6086884,-103.3792206,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6754
1450810344,20.6086937,-103.371075,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6441
1439693376,20.6086938,-103.393041,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6116
2869717420,20.6087181,-103.4093677,4:8f62eafb-529f-4b3e-90b9-a12853359b86:11899
1430324102,20.6087235,-103.4251533,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5797
1432255122,20.6087276,-103.3938649,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5855
1454530786,20.6087286,-103.3810656,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6756
1450812355,20.6087311,-103.3682592,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6516
1727349555,20.6087371,-103.3575728,4:8f62eafb-529f-4b3e-90b9-a12853359b86:9831
1454530699,20.6087391,-103.3811084,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6737
1439693420,20.6087471,-103.3931545,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6120
1450810368,20.6087484,-103.3742138,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6452
4760132274,20.6087517,-103.3605284,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12550
6532286129,20.6087701,-103.3654422,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13198
4760132276,20.6087703,-103.3596397,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12551
1800778165,20.6087726,-103.4325872,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10320
1407739577,20.6087753,-103.3848784,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5580
4760132272,20.6087826,-103.3578502,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12549
4760132285,20.6087835,-103.3600461,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12556
4760132277,20.6087858,-103.3592162,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12552
1452636033,20.6088043,-103.38281,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6587
1454530812,20.6088132,-103.3798038,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6762
7711552202,20.6088163,-103.3580532,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13804
5994336433,20.6088189,-103.3604945,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12731
1654013460,20.6088251,-103.4210327,4:8f62eafb-529f-4b3e-90b9-a12853359b86:8445
1450810343,20.6088283,-103.3715125,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6440
1450810372,20.6088285,-103.3731173,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6454
1432255125,20.6088338,-103.3921027,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5856
1451045759,20.6088422,-103.3815283,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6571
4760132284,20.6088466,-103.3588275,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12555
4760132269,20.6088495,-103.3581225,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12547
8366390741,20.6088538,-103.4269697,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14696
1432255056,20.6088562,-103.3941702,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5837
4760132270,20.6088651,-103.3580225,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12548
1427496417,20.6088825,-103.3690979,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5741
7711552201,20.6089004,-103.3580869,4:8f62eafb-529f-4b3e-90b9-a12853359b86:13803
8785028532,20.6089105,-103.3947368,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14908
1800778169,20.6089107,-103.4331103,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10321
1453347343,20.608924,-103.3771032,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6660
8785028531,20.6089307,-103.3949735,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14907
8337956716,20.6089496,-103.4352601,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14506
8366390742,20.6089527,-103.4268937,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14697
1800778176,20.6089586,-103.4353779,4:8f62eafb-529f-4b3e-90b9-a12853359b86:10322
1452636075,20.6089796,-103.3832802,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6595
1432255066,20.6089902,-103.3954774,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5841
1453189148,20.6089992,-103.3747884,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6601
3022507429,20.6090015,-103.3649281,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12144
1430324104,20.6090027,-103.4259947,4:8f62eafb-529f-4b3e-90b9-a12853359b86:5798
1451045746,20.6090087,-103.3820324,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6566
1450812320,20.6090117,-103.3686957,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6499
1450810348,20.6090156,-103.3721293,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6445
1439693422,20.6090453,-103.3931127,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6121
4760132280,20.6090468,-103.3584426,4:8f62eafb-529f-4b3e-90b9-a12853359b86:12553
1654013201,20.6090503,-103.4205103,4:8f62eafb-529f-4b3e-90b9-a12853359b86:8443
1450810342,20.6090601,-103.3749317,4:8f62eafb-529f-4b3e-90b9-a12853359b86:6439
8338090917,20.6090739,-103.4353499,4:8f62eafb-529f-4b3e-90b9-a12853359b86:14507
